K,Dimension,Number of Points,Time,Distribution
5,2,409600,0.00122494,Uniform
6,2,409600,0.00143025,Uniform
7,2,409600,0.00170844,Uniform
8,2,409600,0.00212631,Uniform
9,2,409600,0.00246961,Uniform
10,2,409600,0.00261297,Uniform
11,2,409600,0.003035,Uniform
1,2,819200,0.000147922,Uniform
2,2,819200,0.000340336,Uniform
3,2,819200,0.000854481,Uniform
4,2,819200,0.0011636,Uniform
5,2,819200,0.00156258,Uniform
6,2,819200,0.00180879,Uniform
7,2,819200,0.00234987,Uniform
8,2,819200,0.00279235,Uniform
9,2,819200,0.00355314,Uniform
10,2,819200,0.00355049,Uniform
11,2,819200,0.00391684,Uniform
1,2,50,3.8974e-06,Gaussian
2,2,50,5.6296e-06,Gaussian
3,2,50,7.534e-06,Gaussian
4,2,50,9.3226e-06,Gaussian
5,2,50,1.06958e-05,Gaussian
6,2,50,1.17906e-05,Gaussian
7,2,50,1.24989e-05,Gaussian
8,2,50,1.4533e-05,Gaussian
9,2,50,1.62334e-05,Gaussian
10,2,50,1.61746e-05,Gaussian
11,2,50,1.66082e-05,Gaussian
1,2,100,5.5355e-06,Gaussian
2,2,100,8.5402e-06,Gaussian
3,2,100,1.11039e-05,Gaussian
4,2,100,1.41515e-05,Gaussian
5,2,100,1.62036e-05,Gaussian
6,2,100,1.83515e-05,Gaussian
7,2,100,2.00903e-05,Gaussian
8,2,100,2.25061e-05,Gaussian
9,2,100,2.4424e-05,Gaussian
10,2,100,2.52019e-05,Gaussian
11,2,100,2.60585e-05,Gaussian
1,2,200,5.5095e-06,Gaussian
2,2,200,8.5791e-06,Gaussian
3,2,200,1.18169e-05,Gaussian
4,2,200,1.54859e-05,Gaussian
5,2,200,1.98546e-05,Gaussian
6,2,200,2.14722e-05,Gaussian
7,2,200,2.40182e-05,Gaussian
8,2,200,2.71297e-05,Gaussian
9,2,200,2.95816e-05,Gaussian
10,2,200,3.01883e-05,Gaussian
11,2,200,3.30425e-05,Gaussian
1,2,400,8.6393e-06,Gaussian
2,2,400,1.48425e-05,Gaussian
3,2,400,2.13147e-05,Gaussian
4,2,400,2.97543e-05,Gaussian
5,2,400,3.65748e-05,Gaussian
6,2,400,3.94638e-05,Gaussian
7,2,400,4.52006e-05,Gaussian
8,2,400,5.20928e-05,Gaussian
9,2,400,5.77366e-05,Gaussian
10,2,400,5.92101e-05,Gaussian
11,2,400,6.32316e-05,Gaussian
1,2,800,1.25834e-05,Gaussian
2,2,800,2.34558e-05,Gaussian
3,2,800,3.48285e-05,Gaussian
4,2,800,4.54917e-05,Gaussian
5,2,800,5.39829e-05,Gaussian
6,2,800,6.40041e-05,Gaussian
7,2,800,6.60385e-05,Gaussian
8,2,800,7.71004e-05,Gaussian
9,2,800,8.37575e-05,Gaussian
10,2,800,8.88265e-05,Gaussian
11,2,800,9.31454e-05,Gaussian
1,2,1600,1.33536e-05,Gaussian
2,2,1600,2.36194e-05,Gaussian
