K,Dimension,Number of Points,Time,Distribution
9,2,409600,0.361623,Gaussian
10,2,409600,0.394435,Gaussian
11,2,409600,0.368371,Gaussian
1,2,819200,0.869563,Gaussian
2,2,819200,0.772646,Gaussian
3,2,819200,0.752893,Gaussian
4,2,819200,0.761222,Gaussian
5,2,819200,0.751871,Gaussian
6,2,819200,0.750876,Gaussian
7,2,819200,0.759986,Gaussian
8,2,819200,0.758375,Gaussian
9,2,819200,0.75339,Gaussian
10,2,819200,0.750554,Gaussian
11,2,819200,0.750457,Gaussian
1,3,50,1.03503e-05,Uniform
2,3,50,9.712e-06,Uniform
3,3,50,1.5997e-05,Uniform
4,3,50,1.66274e-05,Uniform
5,3,50,1.6959e-05,Uniform
6,3,50,2.04732e-05,Uniform
7,3,50,2.04005e-05,Uniform
8,3,50,2.26169e-05,Uniform
9,3,50,2.73728e-05,Uniform
10,3,50,3.04736e-05,Uniform
11,3,50,3.7365e-05,Uniform
1,3,100,9.0142e-06,Uniform
2,3,100,1.34891e-05,Uniform
3,3,100,1.90854e-05,Uniform
4,3,100,1.87335e-05,Uniform
5,3,100,2.28031e-05,Uniform
6,3,100,2.76466e-05,Uniform
7,3,100,2.75627e-05,Uniform
8,3,100,2.75554e-05,Uniform
9,3,100,3.01039e-05,Uniform
10,3,100,3.00811e-05,Uniform
11,3,100,3.00589e-05,Uniform
1,3,200,6.6345e-06,Uniform
2,3,200,6.8354e-06,Uniform
3,3,200,7.1708e-06,Uniform
4,3,200,8.9884e-06,Uniform
5,3,200,1.0905e-05,Uniform
6,3,200,1.77426e-05,Uniform
7,3,200,2.10903e-05,Uniform
8,3,200,3.0235e-05,Uniform
9,3,200,3.50849e-05,Uniform
10,3,200,3.5071e-05,Uniform
11,3,200,3.74808e-05,Uniform
1,3,400,1.00433e-05,Uniform
2,3,400,1.01801e-05,Uniform
3,3,400,1.05482e-05,Uniform
4,3,400,1.05382e-05,Uniform
5,3,400,1.09295e-05,Uniform
6,3,400,1.81528e-05,Uniform
7,3,400,2.39372e-05,Uniform
8,3,400,2.38685e-05,Uniform
9,3,400,2.42764e-05,Uniform
10,3,400,3.82701e-05,Uniform
11,3,400,5.29229e-05,Uniform
1,3,800,1.55277e-05,Uniform
2,3,800,1.5874e-05,Uniform
3,3,800,1.61476e-05,Uniform
4,3,800,1.61916e-05,Uniform
5,3,800,1.6486e-05,Uniform
6,3,800,1.65298e-05,Uniform
7,3,800,1.65233e-05,Uniform
8,3,800,2.33067e-05,Uniform
9,3,800,2.36682e-05,Uniform
10,3,800,2.83269e-05,Uniform
11,3,800,2.83087e-05,Uniform
1,3,1600,3.69792e-05,Uniform
2,3,1600,3.76121e-05,Uniform
3,3,1600,3.74925e-05,Uniform
4,3,1600,5.88474e-05,Uniform
5,3,1600,3.9418e-05,Uniform
6,3,1600,3.97416e-05,Uniform
7,3,1600,4.37108e-05,Uniform
8,3,1600,3.8064e-05,Uniform
9,3,1600,3.83554e-05,Uniform
10,3,1600,3.85713e-05,Uniform
11,3,1600,3.83154e-05,Uniform
1,3,3200,9.19674e-05,Uniform
2,3,3200,9.24371e-05,Uniform
3,3,3200,9.24738e-05,Uniform
4,3,3200,0.000102022,Uniform
5,3,3200,0.000124989,Uniform
6,3,3200,9.3207e-05,Uniform
7,3,3200,9.29066e-05,Uniform
8,3,3200,9.2823e-05,Uniform
9,3,3200,9.32284e-05,Uniform
10,3,3200,9.32357e-05,Uniform
11,3,3200,9.67649e-05,Uniform
1,3,6400,0.000166163,Uniform
2,3,6400,0.000168732,Uniform
3,3,6400,0.000167155,Uniform
4,3,6400,0.000169478,Uniform
5,3,6400,0.000168594,Uniform
6,3,6400,0.00017513,Uniform
7,3,6400,0.000167825,Uniform
8,3,6400,0.000167287,Uniform
9,3,6400,0.000170946,Uniform
